votos_tipo,,POSITIVO,POSITIVO,POSITIVO,POSITIVO,POSITIVO,POSITIVO,POSITIVO,POSITIVO,POSITIVO,POSITIVO,POSITIVO,POSITIVO,POSITIVO,POSITIVO
cargo_tag,,GB,GB,GB,GB,IN,IN,IN,IN,IN,PR,PR,PR,PR,PR
agrupacion_id,,132,132,135,134,132,132,134,134,135,134,134,135,132,132
agrupacion_nombre,,JUNTOS POR EL CAMBIO,JUNTOS POR EL CAMBIO,LA LIBERTAD AVANZA,UNION POR LA PATRIA,JUNTOS POR EL CAMBIO,JUNTOS POR EL CAMBIO,UNION POR LA PATRIA,UNION POR LA PATRIA,LA LIBERTAD AVANZA,UNION POR LA PATRIA,UNION POR LA PATRIA,LA LIBERTAD AVANZA,JUNTOS POR EL CAMBIO,JUNTOS POR EL CAMBIO
lista_numero,,3603,3602,3612,3604,3603,3602,3604,3631,3612,3005,3006,3016,3008,3007
circuito_id,mesa_id,,,,,,,,,,,,,,
001017,202,48,29,62,16,62,10,64,37,47,62,16,69,46,24
001017,203,24,28,0,89,40,22,67,42,0,66,25,64,23,31
001017,204,28,18,59,99,37,13,77,42,46,89,15,71,28,18
001017,205,26,21,57,92,46,14,60,46,47,63,26,71,30,20
001017,206,24,23,67,64,40,13,72,49,48,76,41,83,25,22
001017,207,34,20,55,88,40,16,67,50,35,49,37,66,38,17
001017,208,28,24,50,79,42,18,64,31,41,62,19,60,27,31
001017,209,35,22,46,94,39,18,79,32,39,72,21,57,34,21
001017,210,39,17,51,97,46,14,83,27,43,57,38,58,38,17
001017,211,36,22,66,48,49,19,27,68,50,50,33,75,37,22
001017,212,48,32,63,73,58,26,60,35,42,53,21,71,46,31
001017,213,41,29,62,92,49,24,59,49,52,75,18,71,42,32
001017,214,23,15,54,91,31,13,52,55,52,57,29,69,28,17
001017,215,32,23,47,64,42,16,68,37,36,61,21,61,34,23
001017,216,41,34,54,91,53,22,28,72,46,60,25,65,34,25
001017,217,27,50,54,55,19,60,57,33,51,55,24,61,48,27
001017,218,47,23,55,100,59,17,74,34,45,61,41,60,41,25
001017,219,0,0,0,0,0,0,0,0,0,0,0,0,0,0
001017,220,49,21,47,84,56,15,37,35,37,48,28,57,43,19
001017,221,28,19,57,80,34,19,70,33,52,66,16,65,27,21
001017,222,27,26,55,92,45,17,59,47,40,72,24,73,26,24
001017,223,17,19,67,92,26,13,85,42,52,72,21,75,19,14
001017,224,30,30,52,101,43,23,73,37,46,73,29,58,32,28
001017,225,32,22,54,104,44,15,83,36,46,71,15,54,36,25
001017,226,27,18,68,81,46,12,86,44,56,63,17,82,26,19
001017,227,42,29,48,82,10,19,61,36,38,53,21,60,45,27
001017,228,0,0,0,0,0,0,0,0,0,0,0,0,0,0
001017,229,0,0,0,0,0,0,0,0,0,0,0,0,0,0
001017,230,45,26,61,64,60,15,62,23,44,71,20,66,42,24
001017,231,33,24,51,66,52,19,62,38,42,57,32,60,36,21
001017,232,26,21,56,60,31,27,68,32,56,49,34,73,28,21
001017,233,35,19,70,82,43,11,66,31,55,60,21,74,39,16
001017,234,20,4,30,54,22,5,32,41,32,30,25,33,19,5
001018,235,45,23,49,70,51,23,81,39,36,45,38,54,48,22
001018,236,4,30,59,89,47,25,63,33,48,50,32,65,43,31
001018,237,56,38,51,83,64,26,63,31,43,64,18,61,55,37
001018,238,44,30,59,92,54,24,62,41,48,54,34,66,44,32
001018,239,41,20,67,99,55,12,84,42,58,62,33,77,42,21
001018,240,39,30,58,98,60,18,58,49,52,71,30,70,41,28
001018,241,35,28,67,40,54,13,65,46,66,63,28,78,36,25
001018,242,0,0,0,0,0,0,0,0,0,0,0,0,0,0
001018,243,39,19,60,80,49,13,64,44,45,68,17,63,37,21
001018,244,41,26,59,76,48,13,57,40,48,49,20,62,42,28
001018,245,26,28,60,91,37,18,67,40,50,62,27,71,28,31
001018,246,0,0,0,0,0,0,0,0,0,57,22,81,44,24
001018,247,42,26,72,88,50,14,77,25,72,44,24,77,47,26
001018,248,46,17,56,74,51,18,56,42,50,57,24,66,48,16
001018,249,41,22,56,90,52,18,65,30,45,50,42,64,39,21
001018,250,37,27,45,61,50,17,58,48,37,64,28,55,40,26
001018,251,48,37,62,57,54,25,47,64,45,55,34,64,47,30
001018,252,50,3,53,87,60,20,60,46,45,58,31,62,46,31
001018,253,50,33,63,63,65,28,47,39,45,48,11,74,50,35
001018,254,48,24,62,84,60,15,70,41,51,70,13,75,50,26
001018,255,41,36,45,67,58,24,40,44,44,55,11,57,38,36
001018,256,31,26,78,94,52,17,67,43,63,76,23,89,33,29
001018,257,36,16,61,87,36,8,53,63,51,50,40,69,37,15
001018,258,48,31,50,85,62,22,55,43,38,71,21,63,47,26
001018,259,46,37,52,83,59,25,54,47,36,63,18,60,44,41
001018,260,35,26,58,91,52,18,65,45,42,67,17,61,41,26
001018,261,17,7,39,35,22,7,28,23,39,27,5,42,17,7
001019,262,52,35,50,89,54,23,59,43,20,56,51,60,59,32
001019,263,11,13,20,12,16,10,6,9,18,10,3,25,11,13
001020,264,5,0,5,14,5,0,14,3,5,10,4,5,5,0
001021,265,19,15,62,104,23,11,104,31,51,80,23,79,23,16
001021,266,21,16,31,115,25,9,130,25,22,85,27,48,22,17
001021,267,0,0,0,0,0,0,0,0,0,0,0,0,0,0
001021,268,32,16,60,113,32,11,122,27,49,91,20,72,38,16
001021,269,0,0,0,0,0,0,0,0,0,0,0,0,0,0
001021,270,26,14,42,112,29,9,117,32,31,91,24,52,26,16
001021,271,22,23,46,117,24,11,117,29,34,90,24,58,23,23
001021,272,30,20,59,105,33,12,112,0,54,84,16,66,37,14
001021,273,21,24,47,104,20,13,98,14,48,80,26,63,25,25
001021,274,15,13,54,116,13,7,147,26,34,89,26,59,16,15
001021,275,26,18,75,99,30,6,118,23,51,66,29,86,29,15
001021,276,0,0,0,0,0,0,0,0,0,0,0,0,0,0
001021,277,41,14,65,41,37,11,117,21,49,69,26,77,41,14
001021,278,41,12,94,108,42,11,113,23,42,73,28,59,45,9
001021,279,33,19,58,107,37,10,117,29,52,81,24,76,33,17
001021,280,22,24,71,0,26,14,0,0,54,0,0,81,25,24
001021,281,30,11,39,75,36,7,89,21,29,68,33,54,32,13
001021,282,15,22,49,64,22,12,94,30,42,81,27,62,15,24
001021,283,21,14,44,112,24,8,135,9,27,83,33,58,22,16
001021,284,0,0,0,0,0,0,0,0,0,0,0,0,0,0
001021,285,23,10,61,112,28,5,125,14,46,74,33,71,26,10
001021,286,24,14,52,94,24,7,98,35,40,74,18,60,36,17
001021,287,17,20,59,111,16,14,119,25,49,89,14,65,23,17
001021,288,28,16,61,106,30,9,110,19,46,69,36,84,33,16
001021,289,27,20,53,110,33,9,128,17,39,72,36,65,29,19
