,,slope,slope,slope,,VOTOS,,,,,ESTIMADO ZARATE,,,
,,FpV,Pro,Massa,,Propato,Caffaro,Bullrich,Larreta,,Propato,Caffaro,Bullrich,Larreta
circuito_id,mesa_id,,,,,,,,,,,,,
1017,158,211.3,293.1,264.2,,61,34,,,,12889.3,9965.4,,
1017,159,238.3,393.2,222.3,,,,,,,,,,
1017,160,246.7,286.7,250,,,,,,,,,,
1017,161,215.2,388.5,239.5,,,,,,,,,,
1017,162,220.9,317.5,236.8,,,,,,,,,,
1017,163,215.1,403.8,234.6,,46,29,,,,9894.6,11710.2,,
1017,164,216.1,352.7,249.8,,,,,,,,,,
1017,165,266.9,297.3,256.6,,35,26,,,,9341.5,7729.8,,
1017,166,228.2,357.8,233.8,,,,,,,,,,
1017,167,222.6,300.9,254.8,,,,,,,,,,
1017,168,237.7,296.8,252.6,,,,,,,,,,
1017,169,239,293.6,260.2,,,,,,,,,,
1017,170,235.3,353.6,265.6,,,,,,,,,,
1017,171,248.3,281.8,248.4,,56,41,,,,13904.8,11553.8,,
1017,172,235,299.1,250.1,,52,49,,,,12220,14655.9,,
1017,173,258.9,316.9,227.4,,,,,,,,,,
1017,174,228.8,342.9,253,,,,,,,,,,
1017,175,258.9,282.8,258.8,,,,,,,,,,
1017,176,239.5,301.2,244.1,,,,,,,,,,
1017,177,265.1,282.5,241.9,,,,,,,,,,
1017,178,251.1,364.5,231.4,,,,,,,,,,
1017,179,237.3,289.7,219.9,,,,,,,,,,
1017,180,223.8,309.9,223.4,,,,,,,,,,
1017,181,268.2,298.2,250.7,,44,72,,,,11800.8,21470.4,,
1017,182,256.8,317.9,239.4,,73,41,,,,18746.4,13033.9,,
1017,183,236,296,236.8,,50,42,,,,11800,12432,,
1017,184,245.4,354.6,273.9,,,,,,,,,,
1017,185,231.8,323.5,244.7,,62,41,,,,14371.6,13263.5,,
1017,186,242.3,290.1,249.9,,,,,,,,,,
1017,187,270.4,291.6,244.8,,67,44,,,,18116.8,12830.4,,
1017,188,239.6,351.9,254.2,,,,,,,,,,
1017,189,222.6,341.3,207.4,,61,44,,,,13578.6,15017.2,,
1017,190,229.9,287.3,262.5,,,,,,,,,,
1017,191,234.5,296.9,264.1,,80,44,,,,18760,13063.6,,
1017,192,232.8,278.7,285.1,,,,,,,,,,
1017,193,231.8,287.2,266.5,,,,,,,,,,
1017,194,234,334.1,247.4,,,,,,,,,,
1017,195,242.9,335.8,219.7,,,,,,,,,,
1017,196,243,303.9,285.5,,,,,,,,,,
1017,197,279.9,280.6,266.8,,,,,,,,,,
1017,198,242,321.9,268.8,,,,,,,,,,
1017,199,241,364.1,248.1,,,,,,,,,,
1017,200,238.3,317,245.2,,,,,,,,,,
1017,201,236.9,318.4,273.7,,,,,,,,,,
1017,202,229.3,287.5,239.5,,,,,,,,,,
1017,203,237.5,291.4,217.8,,,,,,,,,,
1017,204,251.8,311.4,209.5,,,,,,,,,,
1017,205,266,296.4,225.9,,,,,,,,,,
1017,206,261.4,286.4,229.6,,,,,,,,,,
1017,207,236.5,309.4,252.6,,,,,,,,,,
1017,208,243.9,310.4,250.6,,,,,,,,,,
1017,209,249.3,429.5,373.6,,79,32,,,,19694.7,13744,,
1017,210,242.1,309,310.4,,83,27,,,,20094.3,8343,,
1017,211,248.9,285.4,295.3,,,,,,,,,,
1017,212,242.2,325.4,252,,,,,,,,,,
1017,213,289.7,263.3,235.7,,,,,,,,,,
1017,214,221.8,346.9,302.5,,52,55,,,,11533.6,19079.5,,
1017,215,257.3,278.1,244.2,,68,37,,,,17496.4,10289.7,,
1017,216,318.6,286.1,359.2,,,,,,,,,,
1017,217,287.2,301.9,217,,,,,,,,,,
1017,218,273.1,265.5,250.3,,,,,,,,,,
1017,219,252.1,309.9,267,,,,,,,,,,
1017,220,266.3,274,286,,,,,,,,,,
1017,221,415.2,422,286,,70,33,,,,29064,13926,,
1017,222,381.1,439,296.6,,,,,,,,,,
1017,223,496.7,569.1,552.3,,,,,,,,,,
1018,202,232.7,,194.7,,,,,,,,,,
1018,203,229.8,,239.3,,,,,,,,,,
1018,204,280.1,,188.1,,,,,,,,,,
1018,205,209.2,,235.8,,,,,,,,,,
1018,206,238,,220.1,,,,,,,,,,
1018,207,263.5,,207,,,,,,,,,,
1018,208,316.3,,193.5,,,,,,,,,,
1018,209,231.1,,211.8,,79,32,,,,18256.9,0,,
1018,210,267.9,242.2,232.2,,,,,,,,,,
1018,211,222.7,301.2,218.6,,,,,,,,,,
1018,212,238.7,230.6,207.8,,,,,,,,,,
1018,213,241.2,234.4,209.5,,,,,,,,,,
1018,214,245.6,252.7,212.9,,52,55,,,,12771.2,13898.5,,
1018,215,271.6,232.8,216,,68,37,,,,18468.8,8613.6,,
1018,216,260.8,241.4,211.3,,72,28,,,,18777.6,6759.2,,
1018,217,283.3,240,225.4,,57,33,,,,16148.1,7920,,
1018,218,262.4,235,237.1,,,,,,,,,,
1018,219,255.1,259.2,223,,63,39,,,,16071.3,10108.8,,
1018,220,241.9,272.1,194.7,,,,,,,,,,
1018,221,246.7,225.8,204.8,,,,,,,,,,
1018,222,245.7,253.4,214,,,,,,,,,,
1018,223,234.2,247.3,215.5,,,,,,,,,,
1018,224,255.2,277.4,196.4,,,,,,,,,,
1018,225,260.5,249.5,241.7,,,,,,,,,,
1018,226,265.6,245.4,238.4,,,,,,,,,,
1018,227,252.4,265.2,209.1,,,,,,,,,,
1018,228,255.1,289.4,202.1,,,,,,,,,,
1018,229,272.1,237.3,222,,,,,,,,,,
1018,230,243,269.8,209.6,,,,,,,,,,
1018,231,237.2,256,232.9,,,,,,,,,,
1018,232,252.3,261.7,218.5,,,,,,,,,,
1018,233,257.2,272.5,195.3,,66,31,,,,16975.2,8447.5,,
1018,234,258.1,267.1,252.8,,,,,,,,,,
1018,235,271.6,251.5,224.6,,,,,,,,,,
1018,236,226.9,254,222.7,,,,,,,,,,
1018,237,220.5,297.1,269.5,,,,,,,,,,
1018,238,229.5,331.5,251.1,,,,,,,,,,
1018,239,229.8,274.1,224,,,,,,,,,,
1018,240,250.4,255.8,238,,58,49,,,,14523.2,12534.2,,
1018,241,265.8,249,174.2,,,,,,,,,,
1018,242,268.6,310.1,326,,,,,,,,,,
1018,243,252.4,314.6,314.1,,,,,,,,,,
1018,244,235.7,211.4,222.5,,,,,,,,,,
1018,245,260.5,256.7,308,,,,,,,,,,
1018,246,279.2,242.9,302.2,,,,,,,,,,
1018,247,259,251.7,235.5,,,,,,,,,,
1018,248,407.4,399.5,219.4,,,,,,,,,,
1018,249,578.3,770.8,728,,,,,,,,,,
1019,227,681.6,,750.1,,,,,,,,,,
1019,228,706,,423,,,,,,,,,,
1019,235,655.4,398.6,386.5,,,,,,,,,,
1019,236,533.6,306.8,432.8,,,,,,,,,,
1019,244,468.5,458.4,491.6,,,,,,,,,,
1019,245,579.8,381.6,674.4,,,,,,,,,,
1019,249,574.6,357.7,,,,,,,,,,,
1019,250,551.7,367.3,400.4,,,,,,,,,,
1019,251,539.9,428.3,400.4,,,,,,,,,,
1020,229,2318.5,,1516.1,,,,,,,,,,
1020,237,1900.1,1999.7,1440.9,,,,,,,,,,
1020,246,1779.9,2530,1666.9,,,,,,,,,,
1020,251,1947.5,1437.9,,,,,,,,,,,
1020,252,2155.8,1490.7,1601.7,,,,,,,,,,
1021,230,173.9,,283.4,,62,23,,,,10781.8,0,,
1021,231,171.1,,332.3,,,,,,,,,,
1021,232,152.6,,340.9,,,,,,,,,,
1021,233,210.3,,214.2,,,,,,,,,,
1021,234,164.7,,335.4,x,,,,,,,,,
1021,235,137.7,,348.4,,,,,,,,,,
1021,236,191.9,,267.8,,,,,,,,,,
1021,237,138.2,,318.1,x,,,,,,,,,
