año,eleccion_tipo,padron_tipo,distrito_nombre,cargo_nombre,agrupacion_nombre,votos_cantidad,fuerza
2011,GENERAL,NORMAL,La Rioja,Presidente,Alianza Compromiso Federal,31269,PROVINCIAL
2011,GENERAL,NORMAL,Mendoza,Diputado Nacional,Alianza Frente para la Victoria,377510,PERON
2011,GENERAL,NORMAL,Mendoza,Diputado Nacional,Alianza Frente Cívico Federal - UDESO Mendoza,179744,OTROS
2011,GENERAL,NORMAL,Mendoza,Diputado Nacional,Alianza Compromiso Federal,137168,PROVINCIAL
2011,GENERAL,NORMAL,Mendoza,Presidente,Alianza Frente para la Victoria,436423,PERON
2011,GENERAL,NORMAL,Mendoza,Presidente,Alianza Frente Amplio Progresista,106071,SOCIALISTA
2011,GENERAL,NORMAL,Mendoza,Presidente,Alianza Compromiso Federal,174433,PROVINCIAL
2011,GENERAL,NORMAL,Misiones,Diputado Nacional,Alianza Frente para la Victoria,96673,PERON
2011,GENERAL,NORMAL,Misiones,Diputado Nacional,Unión Cívica Radical,73752,UCR
2011,GENERAL,NORMAL,Misiones,Diputado Nacional,Alianza Frente Renovador de la Concordia,246672,PROVINCIAL
2011,GENERAL,NORMAL,Misiones,Presidente,Alianza Frente para la Victoria,362680,PERON
2011,GENERAL,NORMAL,Misiones,Presidente,Alianza Unión para el Desarrollo Social,73805,UCR
2011,GENERAL,NORMAL,Misiones,Presidente,Alianza Frente Popular,43763,OTROS
2011,GENERAL,NORMAL,Neuquén,Diputado Nacional,Alianza Frente para la Victoria,88591,PERON
2011,GENERAL,NORMAL,Neuquén,Diputado Nacional,Alianza Frente Amplio Progresista,31017,SOCIALISTA
2011,GENERAL,NORMAL,Neuquén,Diputado Nacional,Movimiento Popular Neuquino,86662,OTROS
2011,GENERAL,NORMAL,Neuquén,Presidente,Alianza Frente para la Victoria,188923,PERON
2011,GENERAL,NORMAL,Neuquén,Presidente,Alianza Frente Amplio Progresista,44641,SOCIALISTA
2011,GENERAL,NORMAL,Neuquén,Presidente,Alianza Unión para el Desarrollo Social,28829,UCR
2011,GENERAL,NORMAL,Río Negro,Diputado Nacional,Alianza Frente para la Victoria,199576,PERON
2011,GENERAL,NORMAL,Río Negro,Diputado Nacional,Unión Cívica Radical,34508,UCR
2011,GENERAL,NORMAL,Río Negro,Diputado Nacional,Partido Socialista,32837,OTROS
2011,GENERAL,NORMAL,Río Negro,Presidente,Alianza Frente para la Victoria,224362,PERON
2011,GENERAL,NORMAL,Río Negro,Presidente,Alianza Frente Amplio Progresista,39588,SOCIALISTA
2011,GENERAL,NORMAL,Río Negro,Presidente,Alianza Unión para el Desarrollo Social,30735,UCR
2011,GENERAL,NORMAL,Salta,Diputado Nacional,Alianza Frente para la Victoria,318404,PERON
2011,GENERAL,NORMAL,Salta,Diputado Nacional,Alianza Unión para el Desarrollo Social,99780,UCR
2011,GENERAL,NORMAL,Salta,Diputado Nacional,Partido Obrero,48609,OTROS
2011,GENERAL,NORMAL,Salta,Presidente,Alianza Frente para la Victoria,381590,PERON
2011,GENERAL,NORMAL,Salta,Presidente,Alianza Frente Amplio Progresista,49768,SOCIALISTA
2011,GENERAL,NORMAL,Salta,Presidente,Alianza Unión para el Desarrollo Social,87923,UCR
2011,GENERAL,NORMAL,San Juan,Diputado Nacional,Alianza Frente para la Victoria,211951,PERON
2011,GENERAL,NORMAL,San Juan,Diputado Nacional,Unión Cívica Radical,21995,UCR
2011,GENERAL,NORMAL,San Juan,Diputado Nacional,Alianza Compromiso Federal,59070,PROVINCIAL
2011,GENERAL,NORMAL,San Juan,Presidente,Alianza Frente para la Victoria,218243,PERON
2011,GENERAL,NORMAL,San Juan,Presidente,Alianza Unión para el Desarrollo Social,23958,UCR
2011,GENERAL,NORMAL,San Juan,Presidente,Alianza Compromiso Federal,56867,PROVINCIAL
2011,GENERAL,NORMAL,San Luis,Diputado Nacional,Alianza Frente para la Victoria,58192,PERON
2011,GENERAL,NORMAL,San Luis,Diputado Nacional,Unión Cívica Radical,21850,UCR
2011,GENERAL,NORMAL,San Luis,Diputado Nacional,Alianza Compromiso Federal,117209,PROVINCIAL
2011,GENERAL,NORMAL,San Luis,Presidente,Alianza Frente para la Victoria,71855,PERON
2011,GENERAL,NORMAL,San Luis,Presidente,Alianza Unión para el Desarrollo Social,20857,UCR
2011,GENERAL,NORMAL,San Luis,Presidente,Alianza Compromiso Federal,117707,PROVINCIAL
2011,GENERAL,NORMAL,Santa Cruz,Diputado Nacional,Alianza Frente para la Victoria,72799,PERON
2011,GENERAL,NORMAL,Santa Cruz,Diputado Nacional,Unión Cívica Radical,22122,UCR
