in1_prov,in1_dpto,eleccion_tag,cargo_tag,fuerza,votos_cantidad,votos_porcentaje
2,2014,PASO17c,DP,NO POSITIVOS,0,
2,2014,PASO17n,DN,IZQUIERDA,2978,0.028802166449054596
2,2014,PASO17n,DN,NO POSITIVOS,1715,0.016586875574254076
2,2014,PASO17n,DN,OTROS,18050,0.1745732385511872
2,2014,PASO17n,DN,PERON,12266,0.11863242903428599
2,2014,PASO17n,DN,PRO,68386,0.6614052903912181
2,2014,PASO17n,DP,IZQUIERDA,3401,0.03313038819346354
2,2014,PASO17n,DP,NO POSITIVOS,2085,0.020310749598168622
2,2014,PASO17n,DP,OTROS,18172,0.17702011592226388
2,2014,PASO17n,DP,PERON,11946,0.11637036676245677
2,2014,PASO17n,DP,PRO,67051,0.6531683795236471
2,2014,PASO19n,CO,IZQUIERDA,3618,0.034840387115412395
2,2014,PASO19n,CO,NO POSITIVOS,8586,0.08268091867687419
2,2014,PASO19n,CO,OTROS,8008,0.0771149309066397
2,2014,PASO19n,CO,PERON,18708,0.18015311281236457
2,2014,PASO19n,CO,PRO,64925,0.6252106504887092
2,2014,PASO19n,DN,IZQUIERDA,3947,0.037974196403659836
2,2014,PASO19n,DN,NO POSITIVOS,4024,0.038715015537959765
2,2014,PASO19n,DN,OTROS,13304,0.12799815276267812
2,2014,PASO19n,DN,PERON,18427,0.17728667776291865
2,2014,PASO19n,DN,PRO,64237,0.6180259575327837
2,2014,PASO19n,DP,IZQUIERDA,3567,0.034254270980380856
2,2014,PASO19n,DP,NO POSITIVOS,5145,0.049407968655469446
2,2014,PASO19n,DP,OTROS,11873,0.1140176505046431
2,2014,PASO19n,DP,PERON,18688,0.1794628023777285
2,2014,PASO19n,DP,PRO,64860,0.6228573074817781
2,2014,PASO19n,GB,IZQUIERDA,3367,0.03246271175001687
2,2014,PASO19n,GB,NO POSITIVOS,8208,0.07913689873600786
2,2014,PASO19n,GB,OTROS,6184,0.059622634232879224
2,2014,PASO19n,GB,PERON,19015,0.18333188711807866
2,2014,PASO19n,GB,PRO,66945,0.6454458681630174
2,2014,PASO19n,PR,IZQUIERDA,3460,0.03317544633440083
2,2014,PASO19n,PR,NO POSITIVOS,3309,0.031727616162003563
2,2014,PASO19n,PR,OTROS,12391,0.11880836865016205
2,2014,PASO19n,PR,PERON,19615,0.188074098222333
2,2014,PASO19n,PR,PRO,65519,0.6282144706311006
2,2014,PASO19n,SN,IZQUIERDA,3530,0.033960267449131755
2,2014,PASO19n,SN,NO POSITIVOS,4203,0.04043484535090673
2,2014,PASO19n,SN,OTROS,13055,0.12559526672759633
2,2014,PASO19n,SN,PERON,18817,0.18102842849583914
2,2014,PASO19n,SN,PRO,64340,0.618981191976526
2,2014,PASO21c,DN,NO POSITIVOS,0,
2,2014,PASO21c,DP,NO POSITIVOS,0,
2,2014,PASO21n,DN,IZQUIERDA,3958,0.041980886923134036
2,2014,PASO21n,DN,NO POSITIVOS,2039,0.02162683891770346
2,2014,PASO21n,DN,OTROS,15671,0.16621588655190336
2,2014,PASO21n,DN,PERON,13022,0.13811902716347937
2,2014,PASO21n,DN,PRO,59591,0.6320573604437798
2,2014,PASO21n,DP,IZQUIERDA,3969,0.04125908292358389
2,2014,PASO21n,DP,NO POSITIVOS,2732,0.028400054055739785
2,2014,PASO21n,DP,OTROS,15527,0.1614083599280643
2,2014,PASO21n,DP,PERON,13137,0.1365635102965789
