agrupacion_nombre,votos_cantidad,fuerza
PRO-PROPUESTA REPUBLICANA,245,
Alianza Coalición Cívica - Afirmación para una República Igualitaria ARI,242,
PARTIDO SAN LUIS SOMOS TODOS,238,
UNION CELESTE Y BLANCO,236,
UNION POR TODOS,235,
TODOS VECINOS,235,
CONSENSO ISHCHIGUALASTO,229,
FRENTE DE UNIDAD CIUDADANA,227,
UNION DEL PUEBLO LA PLATA,225,
UNIDOS POR SALTA,225,
DEL TRABAJO Y DEL PUEBLO,222,
MOVIMIENTO POLO SOCIAL CHUBUT,220,
SOCIALISTA AUTENTICO,218,
PARTIDO POR LA DIGNIDAD DEL PUEBLO,218,
MOVIMIENTO INTEGRADOR SANTARROSEÑO,215,
UNIDAD PACEÑA,207,
PRIMERO LA GENTE,202,
Movimiento Libres del Sur,198,
AVANCEMOS HACIA 1PAIS MEJOR,190,
FRENTE UNION FEDERAL,187,
ACCION CHAQUEÑA,182,
Movimiento Independiente Renovador,182,
ALIANZA FRENTE OPOSITOR,181,
FRENTE DE IZQUIERDA Y LOS TRABAJADORES,181,
DE TRABAJADORES POR EL SOCIALISMO,180,
PARTIDO INDEPENDIENTE DEL CHUBUT,178,
FRENTE INTEGRADOR,175,
CAMINO POPULAR,172,
PRINCIPIOS Y CONVICCIÓN,172,
JUSTICIA Y DIGNIDAD PATRIOTICA,162,
CIUDAD FUTURA,159,
MERCEDES INDEPENDIENTE COMUNAL,156,
FRENTE UNIDOS Y ORGANIZADOS POR LA SOBERANIA POPULAR,153,
CRUZADA RENOVADORA,148,
UNIÓN POPULAR FEDERAL,145,
PARTIDO MOVIMIENTO VECINAL INDEPENDI,144,
FORTALEZA,144,
UNIDOS,143,
PROYECTO SUR,141,
+ VALORES,137,
FRENTE PERONISMO RIOJANO,137,
UNION CELESTE Y BLANCA,129,
FRENTE UNICO RIOJANO,114,
CORRIENTE UNIDOS Y ORGANIZADOS,100,
FE,96,
PARTIDO HUMANISTA,93,
Partido Obrero,92,
"PROYECTO JUSTO, SOCIAL Y HUMANISTA",90,
MOVIMIENTO UNION DEL PARTIDO DE PINAMAR,89,
CONFIANZA PUBLICA,89,
APTITUD RENOVADORA,88,
FUERZA ORGANIZADA RENOVADORA DEMOCRATICA,88,
TODOS POR SAAVEDRA,87,
